date	freq
2015-06-01	611
2015-06-02	593
2015-06-03	618
2015-06-04	586
2015-06-05	573
2015-06-06	537
2015-06-07	550
2015-06-08	622
2015-06-09	617
2015-06-10	632
2015-06-11	606
2015-06-12	588
2015-06-13	632
2015-06-14	617
2015-06-15	611
2015-06-16	668
2015-06-17	672
2015-06-18	649
2015-06-19	580
2015-06-20	578
2015-06-21	625
2015-06-22	618
2015-06-23	610
2015-06-24	581
2015-06-25	634
2015-06-26	612
2015-06-27	606
2015-06-28	603
2015-06-29	592
2015-06-30	657
2015-07-01	620
2015-07-02	612
2015-07-03	598
2015-07-04	527
2015-07-05	560
2015-07-06	642
2015-07-07	597
2015-07-08	601
2015-07-09	574
2015-07-10	589
2015-07-11	549
2015-07-12	616
2015-07-13	639
2015-07-14	637
2015-07-15	591
2015-07-16	595
2015-07-17	551
2015-07-18	524
2015-07-19	495
2015-07-20	611
2015-07-21	625
2015-07-22	645
2015-07-23	651
2015-07-24	710
2015-07-25	581
2015-07-26	678
2015-07-27	650
2015-07-28	593
2015-07-29	589
2015-07-30	586
2015-07-31	581
2015-08-01	575
2015-08-02	535
2015-08-03	578
2015-08-04	517
2015-08-05	566
2015-08-06	539
2015-08-07	661
2015-08-08	537
2015-08-09	469
2015-08-10	504
2015-08-11	533
2015-08-12	636
2015-08-13	510
2015-08-14	475
2015-08-15	526
2015-08-16	522
2015-08-17	589
2015-08-18	608
2015-08-19	585
2015-08-20	569
2015-08-21	567
2015-08-22	559
2015-08-23	552
2015-08-24	584
2015-08-25	622
2015-08-26	603
2015-08-27	668
2015-08-28	569
2015-08-29	521
2015-08-30	614
2015-08-31	609
2015-09-01	634
2015-09-02	609
2015-09-03	647
2015-09-04	603
2015-09-05	612
2015-09-06	728
2015-09-07	683
2015-09-08	629
2015-09-09	645
2015-09-10	588
2015-09-11	577
2015-09-12	525
2015-09-13	634
2015-09-14	694
2015-09-15	746
2015-09-16	579
2015-09-17	630
2015-09-18	632
2015-09-19	568
2015-09-20	517
2015-09-21	585
2015-09-22	455
2015-09-23	619
2015-09-24	601
2015-09-25	675
2015-09-26	539
2015-09-27	605
2015-09-28	599
2015-09-29	666
2015-09-30	608
2015-10-01	640
2015-10-02	659
2015-10-03	617
2015-10-04	622
2015-10-05	755
2015-10-06	647
2015-10-07	718
2015-10-08	624
2015-10-09	678
2015-10-10	557
2015-10-11	570
2015-10-12	609
2015-10-13	762
2015-10-14	605
2015-10-15	764
2015-10-16	774
2015-10-17	716
2015-10-18	653
2015-10-19	798
2015-10-20	862
2015-10-21	844
2015-10-22	877
2015-10-23	623
2015-10-24	636
2015-10-25	688
2015-10-26	805
2015-10-27	732
2015-10-28	755
2015-10-29	744
2015-10-30	694
2015-10-31	693
2015-11-01	635
2015-11-02	739
2015-11-03	717
2015-11-04	793
2015-11-05	718
2015-11-06	662
2015-11-07	761
2015-11-08	685
2015-11-09	660
2015-11-10	864
2015-11-11	781
2015-11-12	791
2015-11-13	764
2015-11-14	635
2015-11-15	773
2015-11-16	734
2015-11-17	662
2015-11-18	700
2015-11-19	785
2015-11-20	733
2015-11-21	644
2015-11-22	630
2015-11-23	626
2015-11-24	639
2015-11-25	673
2015-11-26	759
2015-11-27	635
2015-11-28	690
2015-11-29	660
2015-11-30	680
2015-12-01	636
2015-12-02	742
2015-12-03	786
2015-12-04	741
2015-12-05	635
2015-12-06	592
2015-12-07	698
2015-12-08	643
2015-12-09	714
2015-12-10	606
2015-12-11	614
2015-12-12	624
2015-12-13	673
2015-12-14	715
2015-12-15	629
2015-12-16	660
2015-12-17	614
2015-12-18	691
2015-12-19	601
2015-12-20	609
2015-12-21	629
2015-12-22	695
2015-12-23	559
2015-12-24	524
2015-12-25	625
2015-12-26	549
2015-12-27	563
2015-12-28	564
2015-12-29	621
2015-12-30	582
2015-12-31	491
2016-01-01	420
2016-01-02	445
2016-01-03	474
2016-01-04	565
2016-01-05	641
2016-01-06	629
2016-01-07	664
2016-01-08	690
2016-01-09	543
2016-01-10	710
2016-01-11	646
2016-01-12	634
2016-01-13	693
2016-01-14	642
2016-01-15	622
2016-01-16	578
2016-01-17	597
2016-01-18	635
2016-01-19	636
2016-01-20	713
2016-01-21	656
2016-01-22	674
2016-01-23	665
2016-01-24	644
2016-01-25	627
2016-01-26	730
2016-01-27	620
2016-01-28	655
2016-01-29	644
2016-01-30	671
2016-01-31	615
2016-02-01	703
2016-02-02	681
2016-02-03	686
2016-02-04	696
2016-02-05	703
2016-02-06	634
2016-02-07	657
2016-02-08	737
2016-02-09	659
2016-02-10	643
2016-02-11	667
2016-02-12	649
2016-02-13	699
2016-02-14	638
2016-02-15	621
2016-02-16	680
2016-02-17	682
2016-02-18	750
2016-02-19	618
2016-02-20	685
2016-02-21	683
2016-02-22	730
2016-02-23	745
2016-02-24	651
2016-02-25	626
2016-02-26	676
2016-02-27	659
2016-02-28	622
2016-02-29	702
2016-03-01	657
2016-03-02	635
2016-03-03	646
2016-03-04	638
2016-03-05	568
2016-03-06	552
2016-03-07	587
2016-03-08	667
2016-03-09	644
2016-03-10	605
2016-03-11	625
2016-03-12	594
2016-03-13	623
2016-03-14	726
2016-03-15	701
2016-03-16	755
2016-03-17	695
2016-03-18	722
2016-03-19	592
2016-03-20	681
2016-03-21	743
2016-03-22	666
2016-03-23	670
2016-03-24	619
2016-03-25	713
2016-03-26	627
2016-03-27	745
2016-03-28	792
2016-03-29	680
2016-03-30	667
2016-03-31	626
2016-04-01	668
2016-04-02	617
2016-04-03	597
2016-04-04	739
2016-04-05	671
2016-04-06	626
2016-04-07	697
2016-04-08	678
2016-04-09	659
2016-04-10	648
2016-04-11	743
2016-04-12	721
2016-04-13	700
2016-04-14	649
2016-04-15	725
2016-04-16	548
2016-04-17	672
2016-04-18	718
2016-04-19	728
2016-04-20	720
2016-04-21	746
2016-04-22	786
2016-04-23	695
2016-04-24	693
2016-04-25	750
2016-04-26	760
2016-04-27	741
2016-04-28	617
2016-04-29	598
2016-04-30	692
2016-05-01	611
2016-05-02	576
2016-05-03	679
2016-05-04	599
2016-05-05	639
2016-05-06	702
2016-05-07	553
2016-05-08	639
2016-05-09	724
2016-05-10	740
2016-05-11	651
2016-05-12	806
2016-05-13	749
2016-05-14	615
2016-05-15	600
2016-05-16	691
2016-05-17	734
2016-05-18	672
2016-05-19	688
2016-05-20	862
2016-05-21	653
2016-05-22	682
2016-05-23	755
2016-05-24	705
2016-05-25	776
2016-05-26	841
2016-05-27	825
2016-05-28	620
2016-05-29	701
2016-05-30	695
2016-05-31	753
